C3,C4,C5,C6,C7,C8,Pressure,C3_vap,C4_vap,C5_vap,C6_vap,C7_vap,C8_vap
0.1862,0.2033,0.0193,0.2047,0.1491,0.2374,3.5203,0.7014,0.2474,0.0087,0.0297,0.0080,0.0047
0.0733,0.0192,0.5421,0.1248,0.1635,0.0771,3.8380,0.4291,0.0422,0.4581,0.0417,0.0243,0.0046
0.0032,0.2728,0.1469,0.1683,0.1069,0.3019,7.3088,0.0160,0.6390,0.1725,0.0953,0.0316,0.0457
0.0539,0.5201,0.0590,0.0719,0.2192,0.0759,15.4642,0.1417,0.7194,0.0470,0.0292,0.0526,0.0102
0.0389,0.0651,0.0367,0.3483,0.0705,0.4405,13.6067,0.1639,0.1679,0.0604,0.3642,0.0476,0.1959
0.2010,0.1893,0.3927,0.0902,0.0188,0.1080,9.2373,0.5575,0.2181,0.1983,0.0193,0.0019,0.0049
0.0820,0.1208,0.3916,0.0056,0.0535,0.3465,16.7205,0.2547,0.2176,0.4176,0.0036,0.0216,0.0849
0.3748,0.0190,0.0108,0.1206,0.1850,0.2898,9.1776,0.9314,0.0188,0.0047,0.0209,0.0143,0.0098
0.4243,0.0382,0.1237,0.2270,0.1399,0.0469,6.0277,0.9158,0.0270,0.0329,0.0193,0.0045,0.0005
0.4089,0.0099,0.1601,0.2114,0.1244,0.0853,14.1186,0.8562,0.0093,0.0736,0.0437,0.0128,0.0043
0.0033,0.4518,0.0483,0.2459,0.1969,0.0538,9.6945,0.0121,0.7856,0.0443,0.1062,0.0454,0.0065
0.5126,0.1414,0.2040,0.0663,0.0372,0.0385,16.3821,0.8121,0.1009,0.0724,0.0102,0.0029,0.0014
0.2675,0.2343,0.0148,0.1912,0.2880,0.0042,7.4374,0.7096,0.2343,0.0065,0.0298,0.0197,0.0001
0.1118,0.5464,0.0686,0.0571,0.1316,0.0845,4.5287,0.3595,0.5940,0.0297,0.0078,0.0073,0.0017
0.1334,0.1008,0.1950,0.3449,0.1365,0.0894,6.1694,0.5554,0.1693,0.1440,0.1065,0.0191,0.0057
0.5109,0.0937,0.0042,0.1600,0.0962,0.1350,3.0996,0.9478,0.0445,0.0006,0.0057,0.0010,0.0004
0.0970,0.2614,0.1024,0.1056,0.3422,0.0914,13.9702,0.3052,0.4338,0.0962,0.0515,0.0983,0.0149
0.3215,0.0498,0.0473,0.2647,0.2746,0.0421,14.6423,0.7877,0.0585,0.0293,0.0780,0.0429,0.0035
0.3215,0.3240,0.1321,0.0153,0.1637,0.0434,13.1179,0.6412,0.2830,0.0566,0.0027,0.0147,0.0018
0.0715,0.0935,0.1319,0.2673,0.1438,0.2920,18.9473,0.2185,0.1830,0.1716,0.2283,0.0833,0.1153
0.2790,0.3999,0.1841,0.0483,0.0838,0.0049,12.8334,0.5564,0.3487,0.0786,0.0085,0.0075,0.0002
0.0030,0.1358,0.2780,0.5269,0.0130,0.0433,18.2634,0.0085,0.2413,0.3245,0.4040,0.0066,0.0150
0.1892,0.0046,0.5149,0.0382,0.1266,0.1265,5.3250,0.7078,0.0063,0.2636,0.0074,0.0107,0.0041
0.1327,0.2692,0.1467,0.0384,0.0407,0.3723,15.0924,0.3843,0.4097,0.1239,0.0173,0.0106,0.0542
0.0031,0.0827,0.0690,0.4200,0.3928,0.0324,9.2020,0.0165,0.2402,0.1171,0.3956,0.2197,0.0109
0.0817,0.1957,0.0303,0.4258,0.1284,0.1381,15.8171,0.2574,0.3519,0.0333,0.2735,0.0502,0.0338
0.1504,0.1954,0.4121,0.0955,0.1393,0.0073,3.7138,0.5671,0.2380,0.1742,0.0131,0.0075,0.0001
0.1465,0.1317,0.4086,0.0257,0.0341,0.2534,8.9606,0.4972,0.1960,0.2757,0.0079,0.0052,0.0180
0.1647,0.0950,0.2028,0.4300,0.0072,0.1003,5.9631,0.6233,0.1383,0.1247,0.1081,0.0008,0.0047
0.1928,0.4945,0.1047,0.1360,0.0063,0.0657,10.0593,0.4486,0.4759,0.0477,0.0247,0.0005,0.0025
0.0518,0.1970,0.1574,0.1521,0.3962,0.0455,6.4079,0.2544,0.4240,0.1611,0.0673,0.0883,0.0049
0.4388,0.1010,0.0120,0.1465,0.0016,0.3001,18.2357,0.8422,0.0948,0.0060,0.0361,0.0002,0.0207
0.0179,0.4183,0.1538,0.3019,0.0648,0.0433,15.9417,0.0492,0.6338,0.1383,0.1515,0.0195,0.0078
0.1844,0.0893,0.3452,0.0339,0.2683,0.0789,13.1565,0.5394,0.1287,0.2562,0.0124,0.0550,0.0084
0.2830,0.0903,0.1313,0.0064,0.3062,0.1828,13.6321,0.7388,0.1122,0.0833,0.0019,0.0489,0.0148
0.0130,0.0849,0.2048,0.0449,0.0451,0.6073,15.5654,0.0506,0.2133,0.3401,0.0497,0.0342,0.3121
0.3005,0.1032,0.0803,0.0873,0.3166,0.1121,18.7580,0.7003,0.1279,0.0568,0.0322,0.0690,0.0139
0.0734,0.1203,0.4104,0.0628,0.1823,0.1508,4.9817,0.3667,0.2383,0.3359,0.0209,0.0282,0.0099
0.6985,0.0105,0.0878,0.0058,0.0901,0.1073,15.2343,0.9622,0.0061,0.0241,0.0006,0.0046,0.0024
0.3129,0.0493,0.1558,0.2868,0.0935,0.1017,4.5943,0.8714,0.0438,0.0500,0.0299,0.0036,0.0014
0.1189,0.0485,0.0982,0.1140,0.4023,0.2181,14.7278,0.4357,0.1026,0.1259,0.0847,0.1882,0.0629
0.1909,0.2270,0.2550,0.2468,0.0651,0.0152,14.2547,0.4739,0.2746,0.1618,0.0773,0.0111,0.0014
0.1418,0.0167,0.0112,0.7116,0.0272,0.0915,6.0610,0.6587,0.0322,0.0100,0.2862,0.0048,0.0080
0.0838,0.3267,0.2409,0.0396,0.2495,0.0595,4.4086,0.3455,0.4823,0.1404,0.0080,0.0218,0.0020
0.3470,0.1136,0.2846,0.0942,0.1033,0.0573,3.6689,0.8489,0.0793,0.0634,0.0058,0.0022,0.0004
0.1970,0.3794,0.0701,0.0781,0.0028,0.2726,17.5823,0.4477,0.4483,0.0466,0.0270,0.0006,0.0298
0.4687,0.2701,0.0432,0.0697,0.1366,0.0117,7.1710,0.8222,0.1586,0.0103,0.0049,0.0039,0.0001
0.3663,0.1259,0.1653,0.2086,0.1193,0.0146,2.3153,0.8867,0.0746,0.0286,0.0085,0.0014,0.0000
0.1923,0.0476,0.1386,0.1943,0.1312,0.2960,10.4002,0.6726,0.0782,0.1138,0.0772,0.0270,0.0312
0.0287,0.1624,0.0416,0.4732,0.0075,0.2866,3.3406,0.2095,0.4641,0.0513,0.2447,0.0017,0.0287
0.1386,0.0891,0.1375,0.4280,0.1862,0.0206,17.9359,0.3879,0.1449,0.1380,0.2553,0.0691,0.0048
0.0348,0.1614,0.1226,0.2482,0.2890,0.1440,7.0534,0.1836,0.4003,0.1538,0.1483,0.0906,0.0234
0.2072,0.4204,0.2206,0.0198,0.0046,0.1274,9.4571,0.4923,0.4045,0.0952,0.0034,0.0004,0.0044
0.0691,0.0711,0.2235,0.0279,0.1313,0.4771,12.4676,0.2925,0.1697,0.3101,0.0225,0.0648,0.1406
0.1310,0.2197,0.0933,0.1368,0.2924,0.1268,16.8660,0.3736,0.3491,0.0880,0.0715,0.0936,0.0242
0.0994,0.0829,0.3274,0.0372,0.2585,0.1946,18.3140,0.2941,0.1480,0.3628,0.0252,0.1151,0.0549
0.4198,0.0761,0.0573,0.0774,0.0590,0.3104,14.0677,0.8675,0.0703,0.0258,0.0156,0.0059,0.0148
0.1061,0.1568,0.2135,0.0992,0.0918,0.3326,19.5847,0.2989,0.2689,0.2308,0.0668,0.0404,0.0942
0.4289,0.1705,0.0509,0.2385,0.0565,0.0547,8.1911,0.8382,0.1193,0.0150,0.0243,0.0023,0.0009
0.7015,0.0211,0.0376,0.0490,0.1663,0.0245,10.8366,0.9720,0.0107,0.0083,0.0036,0.0051,0.0003
0.0158,0.2450,0.3327,0.1364,0.1112,0.1589,14.9293,0.0505,0.4403,0.3498,0.0825,0.0415,0.0355
0.0890,0.0815,0.2390,0.1124,0.1311,0.3470,1.3412,0.6435,0.1683,0.1513,0.0213,0.0084,0.0071
0.4838,0.2419,0.0207,0.0525,0.0575,0.1436,9.6154,0.8305,0.1541,0.0057,0.0050,0.0024,0.0023
0.1193,0.0258,0.1488,0.0219,0.3913,0.2929,16.8014,0.4125,0.0545,0.1992,0.0180,0.2131,0.1028
0.4957,0.1270,0.1321,0.0119,0.1140,0.1193,19.2225,0.8204,0.1020,0.0563,0.0024,0.0124,0.0066
0.1535,0.1239,0.0863,0.0511,0.5100,0.0752,15.5601,0.4824,0.2148,0.0878,0.0280,0.1720,0.0149
0.0316,0.4654,0.0259,0.2944,0.0480,0.1347,11.0215,0.1027,0.7297,0.0217,0.1199,0.0104,0.0155
0.2565,0.1846,0.0005,0.3026,0.0873,0.1685,11.4688,0.6791,0.2181,0.0003,0.0802,0.0113,0.0109
0.1251,0.0559,0.1234,0.3905,0.3034,0.0017,6.5299,0.5702,0.1084,0.1117,0.1530,0.0566,0.0002
0.0540,0.1803,0.3895,0.1545,0.0985,0.1232,9.1498,0.2112,0.3317,0.3519,0.0678,0.0230,0.0145
0.1469,0.1651,0.0433,0.3166,0.1147,0.2134,8.0142,0.5514,0.2690,0.0337,0.1097,0.0190,0.0172
0.0546,0.0657,0.3401,0.2328,0.0053,0.3015,14.6543,0.1929,0.1343,0.4137,0.1714,0.0024,0.0852
0.0974,0.2246,0.2837,0.1245,0.0368,0.2330,8.5803,0.3540,0.3622,0.2149,0.0431,0.0064,0.0193
0.0691,0.0133,0.6436,0.1608,0.0663,0.0469,1.8378,0.4955,0.0291,0.4325,0.0360,0.0055,0.0013
0.0119,0.2308,0.2583,0.1782,0.0678,0.2530,11.9535,0.0453,0.4701,0.2943,0.1120,0.0249,0.0534
0.2300,0.1381,0.0447,0.1439,0.0350,0.4083,7.8858,0.7343,0.1803,0.0260,0.0352,0.0039,0.0203
0.3580,0.0338,0.3403,0.0494,0.0957,0.1228,15.9290,0.7602,0.0343,0.1728,0.0121,0.0126,0.0081
0.3028,0.0895,0.0215,0.2144,0.0526,0.3192,6.6250,0.8518,0.0927,0.0092,0.0343,0.0034,0.0086
0.2161,0.1477,0.1645,0.0781,0.2231,0.1705,7.8566,0.6741,0.1863,0.0913,0.0174,0.0231,0.0077
0.0085,0.0495,0.2211,0.1723,0.4274,0.1212,14.8662,0.0321,0.1176,0.3425,0.1691,0.2848,0.0538
0.1603,0.1457,0.0111,0.4064,0.2428,0.0337,3.0105,0.7073,0.2042,0.0058,0.0674,0.0146,0.0008
0.2874,0.0387,0.0323,0.0708,0.4557,0.1151,6.4935,0.8889,0.0449,0.0157,0.0123,0.0347,0.0036
0.0800,0.0846,0.0401,0.1459,0.4428,0.2066,15.3488,0.2968,0.1903,0.0574,0.1268,0.2524,0.0762
0.3535,0.0974,0.0767,0.1356,0.2246,0.1122,13.9635,0.7948,0.1003,0.0398,0.0316,0.0269,0.0067
0.1328,0.1901,0.4132,0.2044,0.0008,0.0587,5.3455,0.4870,0.2548,0.2155,0.0407,0.0001,0.0020
0.2079,0.1974,0.0600,0.1300,0.0721,0.3326,4.6700,0.7073,0.2323,0.0273,0.0207,0.0045,0.0080
0.4334,0.0432,0.0184,0.1549,0.3258,0.0243,17.2819,0.8676,0.0418,0.0095,0.0372,0.0423,0.0016
0.4337,0.0454,0.0467,0.2975,0.0234,0.1533,19.7976,0.8306,0.0442,0.0253,0.0833,0.0036,0.0130
0.0696,0.1750,0.0808,0.0427,0.5590,0.0729,9.8659,0.3005,0.3813,0.0954,0.0247,0.1851,0.0131
0.2733,0.2950,0.1560,0.0245,0.1474,0.1038,1.6360,0.7743,0.1943,0.0285,0.0010,0.0017,0.0003
0.2156,0.1992,0.0263,0.0518,0.3024,0.2047,10.8961,0.6382,0.2676,0.0176,0.0153,0.0460,0.0153
0.1461,0.2117,0.3664,0.0521,0.2056,0.0181,7.8264,0.4724,0.2801,0.2113,0.0122,0.0232,0.0009
0.1504,0.3133,0.0168,0.3538,0.1177,0.0480,9.5242,0.4560,0.4135,0.0109,0.1002,0.0161,0.0032
0.0138,0.1143,0.0411,0.1532,0.1984,0.4792,17.7726,0.0472,0.2667,0.0675,0.1747,0.1624,0.2815
0.1041,0.0674,0.1143,0.0993,0.4903,0.1246,18.8058,0.3215,0.1317,0.1474,0.0806,0.2725,0.0463
0.0996,0.2615,0.1703,0.2789,0.0810,0.1087,7.8609,0.3615,0.4059,0.1238,0.0886,0.0123,0.0079
0.1421,0.0360,0.4103,0.3839,0.0012,0.0265,19.1679,0.3595,0.0534,0.3690,0.2119,0.0004,0.0058
0.0817,0.1944,0.3650,0.1434,0.1110,0.1045,1.7910,0.4663,0.3188,0.1857,0.0216,0.0059,0.0018
0.1083,0.0001,0.5052,0.1134,0.0606,0.2124,9.7889,0.4288,0.0002,0.4733,0.0540,0.0156,0.0280
0.1049,0.0100,0.1360,0.3266,0.3300,0.0925,18.9191,0.3164,0.0192,0.1739,0.2699,0.1852,0.0354
0.2086,0.0285,0.5191,0.0873,0.1476,0.0089,15.9081,0.5338,0.0377,0.3634,0.0323,0.0318,0.0010
0.2642,0.4869,0.0726,0.0022,0.0286,0.1455,8.6703,0.5682,0.4001,0.0264,0.0003,0.0017,0.0034
0.0045,0.1295,0.4552,0.0363,0.0444,0.3301,3.8193,0.0316,0.3685,0.5372,0.0184,0.0105,0.0339
0.1871,0.0912,0.0227,0.0315,0.4387,0.2288,13.4129,0.6343,0.1612,0.0223,0.0159,0.1287,0.0375
0.0707,0.3840,0.0817,0.4097,0.0202,0.0337,3.2105,0.3158,0.5598,0.0457,0.0764,0.0014,0.0009
0.1766,0.2020,0.3450,0.1229,0.0235,0.1300,14.2369,0.4570,0.2576,0.2277,0.0409,0.0043,0.0125
0.0154,0.2040,0.0050,0.1650,0.0941,0.5165,9.2944,0.0805,0.5702,0.0079,0.1438,0.0473,0.1504
0.4164,0.3039,0.0177,0.0118,0.0805,0.1697,16.6374,0.7273,0.2469,0.0075,0.0022,0.0079,0.0082
0.0513,0.2880,0.1301,0.1144,0.0907,0.3255,17.2632,0.1548,0.5093,0.1414,0.0741,0.0372,0.0832
0.2313,0.0235,0.0086,0.6076,0.1242,0.0048,16.0055,0.6401,0.0345,0.0073,0.2846,0.0327,0.0008
0.1340,0.0767,0.0200,0.0875,0.5263,0.1555,13.0247,0.5135,0.1605,0.0243,0.0573,0.2082,0.0361
0.0427,0.3769,0.0122,0.3209,0.2455,0.0018,16.7011,0.1207,0.6041,0.0120,0.1786,0.0842,0.0004
0.1845,0.2274,0.3198,0.1513,0.0686,0.0484,5.3232,0.5845,0.2520,0.1355,0.0226,0.0042,0.0011
0.1695,0.0762,0.1577,0.1056,0.1440,0.3470,17.2717,0.5121,0.1314,0.1619,0.0633,0.0533,0.0780
0.1440,0.1736,0.0366,0.2293,0.0086,0.4079,8.6043,0.5458,0.2955,0.0303,0.0885,0.0016,0.0383
0.1829,0.1849,0.2596,0.0237,0.3047,0.0442,17.2549,0.4611,0.2501,0.1988,0.0096,0.0744,0.0061
0.1611,0.1639,0.1640,0.2284,0.0172,0.2654,18.7789,0.4251,0.2469,0.1482,0.1214,0.0056,0.0529
0.0729,0.0676,0.6715,0.1318,0.0539,0.0023,7.9207,0.2923,0.1198,0.5291,0.0485,0.0102,0.0002
0.0396,0.1892,0.4019,0.0816,0.1524,0.1353,12.5239,0.1378,0.3463,0.4005,0.0437,0.0480,0.0237
0.2916,0.2757,0.0588,0.0385,0.1459,0.1895,14.4720,0.6442,0.2847,0.0312,0.0093,0.0186,0.0120
0.2423,0.3150,0.1249,0.1891,0.0966,0.0321,17.3880,0.5118,0.3379,0.0746,0.0565,0.0163,0.0030
0.1074,0.0348,0.5599,0.0215,0.0227,0.2537,6.6735,0.4677,0.0640,0.4377,0.0075,0.0039,0.0192
0.3977,0.0492,0.2616,0.1797,0.0086,0.1032,4.5132,0.8951,0.0331,0.0587,0.0122,0.0002,0.0008
0.2913,0.0039,0.0214,0.2014,0.2148,0.2672,8.0232,0.9026,0.0049,0.0120,0.0460,0.0222,0.0124
0.0391,0.1300,0.0525,0.1596,0.0696,0.5492,11.0864,0.1877,0.3522,0.0839,0.1490,0.0393,0.1879
0.0651,0.4253,0.2217,0.0361,0.1207,0.1311,14.2878,0.1780,0.5953,0.1697,0.0140,0.0271,0.0159
0.0320,0.0823,0.1470,0.1579,0.5531,0.0277,6.7001,0.1932,0.2411,0.2234,0.1150,0.2215,0.0059
0.1488,0.0862,0.3983,0.2285,0.0115,0.1267,1.7732,0.7131,0.1115,0.1489,0.0248,0.0004,0.0013
0.5053,0.1119,0.1279,0.0526,0.0968,0.1055,18.1344,0.8362,0.0875,0.0519,0.0097,0.0095,0.0051
0.2233,0.1871,0.0116,0.3438,0.1003,0.1339,18.5804,0.5449,0.2494,0.0092,0.1504,0.0257,0.0205
0.1747,0.1026,0.4546,0.2332,0.0081,0.0268,8.2467,0.5524,0.1335,0.2552,0.0566,0.0009,0.0014
0.0120,0.1136,0.4876,0.3608,0.0115,0.0145,12.3539,0.0427,0.2171,0.5166,0.2166,0.0041,0.0030
0.3796,0.1366,0.0296,0.3385,0.0843,0.0314,10.7643,0.8082,0.1179,0.0119,0.0548,0.0061,0.0010
0.1548,0.2638,0.0942,0.1637,0.0986,0.2249,8.6497,0.5009,0.3648,0.0611,0.0457,0.0132,0.0141
0.1979,0.0545,0.4129,0.1689,0.0878,0.0780,7.7756,0.6439,0.0718,0.2312,0.0397,0.0096,0.0037
0.0729,0.0480,0.5310,0.2499,0.0595,0.0387,8.8777,0.2949,0.0909,0.4830,0.1125,0.0141,0.0046
0.2256,0.2722,0.0289,0.3192,0.1455,0.0086,2.4731,0.7258,0.2378,0.0084,0.0244,0.0036,0.0001
0.2676,0.1368,0.0077,0.0131,0.4465,0.1283,11.5899,0.7454,0.1732,0.0049,0.0036,0.0639,0.0090
0.1402,0.2897,0.0262,0.0545,0.2212,0.2682,6.9890,0.5026,0.4236,0.0173,0.0144,0.0273,0.0147
0.0231,0.0188,0.1562,0.2605,0.0266,0.5148,10.5248,0.1208,0.0573,0.2872,0.2922,0.0185,0.2241
0.0150,0.2912,0.1546,0.1615,0.0328,0.3449,2.3225,0.1044,0.6891,0.1362,0.0504,0.0040,0.0160
0.4817,0.1079,0.1002,0.1218,0.1816,0.0068,2.2600,0.9339,0.0485,0.0129,0.0032,0.0014,0.0000
0.0699,0.1501,0.3744,0.0501,0.2081,0.1474,13.7666,0.2325,0.2693,0.3747,0.0274,0.0685,0.0276
0.0272,0.2004,0.2279,0.0931,0.0526,0.3988,1.8811,0.2151,0.5221,0.2092,0.0296,0.0064,0.0176
0.0984,0.4989,0.1573,0.1886,0.0531,0.0037,7.6494,0.2892,0.5835,0.0834,0.0388,0.0051,0.0002
0.1504,0.1934,0.0135,0.4394,0.0006,0.2027,3.3432,0.6394,0.2690,0.0071,0.0794,0.0000,0.0051
0.1013,0.0866,0.0847,0.4582,0.1828,0.0864,4.1993,0.5513,0.1800,0.0748,0.1609,0.0272,0.0057
0.2752,0.2556,0.0031,0.2147,0.0793,0.1721,15.6134,0.6260,0.2834,0.0019,0.0623,0.0123,0.0142
0.1677,0.1934,0.1544,0.1260,0.2084,0.1501,6.7907,0.5823,0.2662,0.0923,0.0297,0.0225,0.0070
0.4016,0.1179,0.0138,0.1887,0.1151,0.1629,13.2792,0.8325,0.1070,0.0061,0.0363,0.0107,0.0073
0.5026,0.1381,0.0032,0.1229,0.1090,0.1242,15.0749,0.8622,0.1041,0.0012,0.0195,0.0085,0.0046
0.0406,0.0659,0.4090,0.1167,0.1247,0.2431,6.4184,0.2219,0.1642,0.4788,0.0651,0.0358,0.0342
0.0759,0.2040,0.0311,0.1394,0.3030,0.2466,11.5245,0.3001,0.4228,0.0361,0.0850,0.1067,0.0492
0.4327,0.0329,0.4244,0.0086,0.0436,0.0578,19.1367,0.7673,0.0290,0.1925,0.0019,0.0055,0.0037
0.0853,0.0568,0.4650,0.2997,0.0858,0.0074,19.2407,0.2232,0.0904,0.4619,0.1874,0.0352,0.0020
0.0734,0.2229,0.0243,0.4065,0.1319,0.1410,13.9999,0.2458,0.4075,0.0261,0.2443,0.0465,0.0299
0.0185,0.2754,0.0150,0.2115,0.3361,0.1435,1.4300,0.1586,0.7275,0.0140,0.0599,0.0348,0.0053
0.2812,0.1341,0.2638,0.1214,0.0446,0.1549,8.4715,0.7239,0.1350,0.1123,0.0205,0.0034,0.0049
0.1773,0.0226,0.2022,0.0410,0.0831,0.4738,15.7688,0.5829,0.0416,0.2149,0.0252,0.0309,0.1045
0.1706,0.3865,0.0536,0.1834,0.1282,0.0777,11.2173,0.4475,0.4526,0.0315,0.0470,0.0166,0.0049
0.0842,0.2399,0.0848,0.3272,0.0550,0.2089,1.1281,0.5258,0.3863,0.0409,0.0425,0.0021,0.0025
0.0232,0.2223,0.0237,0.3996,0.2444,0.0868,15.4896,0.0782,0.4440,0.0299,0.3033,0.1177,0.0270
0.2209,0.0654,0.5963,0.0260,0.0656,0.0258,6.7578,0.6641,0.0732,0.2529,0.0042,0.0048,0.0007
0.2905,0.0274,0.3158,0.2025,0.0497,0.1141,3.1192,0.8740,0.0235,0.0843,0.0160,0.0013,0.0010
0.1106,0.0608,0.3515,0.0556,0.1166,0.3049,3.1399,0.6067,0.1154,0.2409,0.0138,0.0117,0.0115
0.0103,0.8238,0.0537,0.0051,0.0478,0.0593,2.8943,0.0384,0.9350,0.0230,0.0006,0.0021,0.0009
0.1128,0.2349,0.0680,0.1395,0.2993,0.1455,1.6054,0.5951,0.3418,0.0315,0.0173,0.0124,0.0019
0.1370,0.5718,0.0123,0.0050,0.0611,0.2128,4.4377,0.4142,0.5737,0.0048,0.0006,0.0030,0.0037
