C3,C4,C5,C6,C7,C8,Pressure,Vapor_Fraction,Temperature
0.0389,0.0651,0.0367,0.3483,0.0705,0.4405,13.6067,0.7107,486.1810501
0.201,0.1893,0.3927,0.0902,0.0188,0.108,9.2373,0.2046,367.0009666
0.082,0.1208,0.3916,0.0056,0.0535,0.3465,16.7205,0.5404,462.6593441
0.3748,0.019,0.0108,0.1206,0.185,0.2898,9.1776,0.8122,443.4036162
0.4243,0.0382,0.1237,0.227,0.1399,0.0469,6.0277,0.7338,381.5044469
0.4089,0.0099,0.1601,0.2114,0.1244,0.0853,14.1186,0.8139,430.8735191
0.0033,0.4518,0.0483,0.2459,0.1969,0.0538,9.6945,0.3013,399.7142326
0.5126,0.1414,0.204,0.0663,0.0372,0.0385,16.3821,0.3844,367.0493669
0.2675,0.2343,0.0148,0.1912,0.288,0.0042,7.4374,0.7901,402.8792578
0.1118,0.5464,0.0686,0.0571,0.1316,0.0845,4.5287,0.5823,351.5815159
0.1334,0.1008,0.195,0.3449,0.1365,0.0894,6.1694,0.0069,359.0591324
0.5109,0.0937,0.0042,0.16,0.0962,0.135,3.0996,0.2074,289.4480306
0.097,0.2614,0.1024,0.1056,0.3422,0.0914,13.9702,0.1213,416.6877416
0.3215,0.0498,0.0473,0.2647,0.2746,0.0421,14.6423,0.4317,423.4740025
0.3215,0.324,0.1321,0.0153,0.1637,0.0434,13.1179,0.3534,372.694658
0.0715,0.0935,0.1319,0.2673,0.1438,0.292,18.9473,0.4434,481.4004463
0.279,0.3999,0.1841,0.0483,0.0838,0.0049,12.8334,0.6814,380.8066691
0.003,0.1358,0.278,0.5269,0.013,0.0433,18.2634,0.401,452.7078534
0.1892,0.0046,0.5149,0.0382,0.1266,0.1265,5.325,0.4506,373.9930767
0.1327,0.2692,0.1467,0.0384,0.0407,0.3723,15.0924,0.1834,420.3055281
0.0031,0.0827,0.069,0.42,0.3928,0.0324,9.202,0.9541,448.3188908
0.0817,0.1957,0.0303,0.4258,0.1284,0.1381,15.8171,0.4976,453.7768945
0.1504,0.1954,0.4121,0.0955,0.1393,0.0073,3.7138,0.0877,324.7291125
0.1465,0.1317,0.4086,0.0257,0.0341,0.2534,8.9606,0.9853,438.7051274
0.1647,0.095,0.2028,0.43,0.0072,0.1003,5.9631,0.3663,378.6833284
0.1928,0.4945,0.1047,0.136,0.0063,0.0657,10.0593,0.4801,368.1512336
0.0518,0.197,0.1574,0.1521,0.3962,0.0455,6.4079,0.5016,407.361093
0.4388,0.101,0.012,0.1465,0.0016,0.3001,18.2357,0.9689,470.1751513
0.0179,0.4183,0.1538,0.3019,0.0648,0.0433,15.9417,0.7743,434.6727578
0.1844,0.0893,0.3452,0.0339,0.2683,0.0789,13.1565,0.4836,423.8799825
0.283,0.0903,0.1313,0.0064,0.3062,0.1828,13.6321,0.876,458.7033008
0.013,0.0849,0.2048,0.0449,0.0451,0.6073,15.5654,0.9197,505.3603472
0.3005,0.1032,0.0803,0.0873,0.3166,0.1121,18.758,0.1401,414.1271155
0.0734,0.1203,0.4104,0.0628,0.1823,0.1508,4.9817,0.512,387.3935107
0.6985,0.0105,0.0878,0.0058,0.0901,0.1073,15.2343,0.4953,360.1572881
0.3129,0.0493,0.1558,0.2868,0.0935,0.1017,4.5943,0.4417,359.5837598
0.1189,0.0485,0.0982,0.114,0.4023,0.2181,14.7278,0.7294,479.1487319
0.1909,0.227,0.255,0.2468,0.0651,0.0152,14.2547,0.9243,422.9267359
0.1418,0.0167,0.0112,0.7116,0.0272,0.0915,6.061,0.9226,415.7145754
0.0838,0.3267,0.2409,0.0396,0.2495,0.0595,4.4086,0.1271,342.54692
0.347,0.1136,0.2846,0.0942,0.1033,0.0573,3.6689,0.9504,372.5277978
0.197,0.3794,0.0701,0.0781,0.0028,0.2726,17.5823,0.8614,457.6656268
0.4687,0.2701,0.0432,0.0697,0.1366,0.0117,7.171,0.6367,346.8732921
0.3663,0.1259,0.1653,0.2086,0.1193,0.0146,2.3153,0.9266,351.3683224
0.1923,0.0476,0.1386,0.1943,0.1312,0.296,10.4002,0.7529,451.1147937
0.0287,0.1624,0.0416,0.4732,0.0075,0.2866,3.3406,0.0153,359.541821
0.1386,0.0891,0.1375,0.428,0.1862,0.0206,17.9359,0.8442,460.5387744
0.0348,0.1614,0.1226,0.2482,0.289,0.144,7.0534,0.2884,411.6553486
0.2072,0.4204,0.2206,0.0198,0.0046,0.1274,9.4571,0.6883,380.6734458
0.0691,0.0711,0.2235,0.0279,0.1313,0.4771,12.4676,0.6237,475.2301407
0.131,0.2197,0.0933,0.1368,0.2924,0.1268,16.866,0.5963,456.7518639
0.0994,0.0829,0.3274,0.0372,0.2585,0.1946,18.314,0.8306,478.3216081
0.4198,0.0761,0.0573,0.0774,0.059,0.3104,14.0677,0.6892,441.444837
0.1061,0.1568,0.2135,0.0992,0.0918,0.3326,19.5847,0.2297,457.6617607
0.4289,0.1705,0.0509,0.2385,0.0565,0.0547,8.1911,0.6751,375.3475424
0.7015,0.0211,0.0376,0.049,0.1663,0.0245,10.8366,0.7215,369.1849723
0.0158,0.245,0.3327,0.1364,0.1112,0.1589,14.9293,0.8089,452.9734282
0.089,0.0815,0.239,0.1124,0.1311,0.347,1.3412,0.4877,356.7665112
0.4838,0.2419,0.0207,0.0525,0.0575,0.1436,9.6154,0.9831,417.3935086
0.1193,0.0258,0.1488,0.0219,0.3913,0.2929,16.8014,0.6716,490.2282499
0.4957,0.127,0.1321,0.0119,0.114,0.1193,19.2225,0.8807,437.0078805
0.1535,0.1239,0.0863,0.0511,0.51,0.0752,15.5601,0.7672,468.5890892
0.0316,0.4654,0.0259,0.2944,0.048,0.1347,11.0215,0.5296,413.0616222
0.2565,0.1846,0.0005,0.3026,0.0873,0.1685,11.4688,0.2285,390.5214803
0.1251,0.0559,0.1234,0.3905,0.3034,0.0017,6.5299,0.6898,412.5268751
0.054,0.1803,0.3895,0.1545,0.0985,0.1232,9.1498,0.5117,409.2382717
0.1469,0.1651,0.0433,0.3166,0.1147,0.2134,8.0142,0.1606,388.3579637
0.0546,0.0657,0.3401,0.2328,0.0053,0.3015,14.6543,0.237,446.8260603
0.0974,0.2246,0.2837,0.1245,0.0368,0.233,8.5803,0.0249,374.8932474
0.0691,0.0133,0.6436,0.1608,0.0663,0.0469,1.8378,0.7406,343.5737165
0.0119,0.2308,0.2583,0.1782,0.0678,0.253,11.9535,0.4525,436.8103299
0.23,0.1381,0.0447,0.1439,0.035,0.4083,7.8858,0.5114,421.1584776
0.358,0.0338,0.3403,0.0494,0.0957,0.1228,15.929,0.2685,393.056375
0.3028,0.0895,0.0215,0.2144,0.0526,0.3192,6.625,0.5895,410.000884
0.2161,0.1477,0.1645,0.0781,0.2231,0.1705,7.8566,0.3992,393.4254851
0.0085,0.0495,0.2211,0.1723,0.4274,0.1212,14.8662,0.2287,467.2954977
0.1603,0.1457,0.0111,0.4064,0.2428,0.0337,3.0105,0.0099,319.5454235
0.2874,0.0387,0.0323,0.0708,0.4557,0.1151,6.4935,0.962,431.0160836
0.08,0.0846,0.0401,0.1459,0.4428,0.2066,15.3488,0.3959,475.8132821
0.3535,0.0974,0.0767,0.1356,0.2246,0.1122,13.9635,0.0497,373.550992
0.1328,0.1901,0.4132,0.2044,0.0008,0.0587,5.3455,0.8712,379.7144624
0.2079,0.1974,0.06,0.13,0.0721,0.3326,4.67,0.126,340.3943513
0.4334,0.0432,0.0184,0.1549,0.3258,0.0243,17.2819,0.5931,431.4682389
0.4337,0.0454,0.0467,0.2975,0.0234,0.1533,19.7976,0.0035,384.8786961
0.0696,0.175,0.0808,0.0427,0.559,0.0729,9.8659,0.3065,430.8371316
0.2733,0.295,0.156,0.0245,0.1474,0.1038,1.636,0.4453,300.9044801
0.2156,0.1992,0.0263,0.0518,0.3024,0.2047,10.8961,0.1746,393.5437286
0.1461,0.2117,0.3664,0.0521,0.2056,0.0181,7.8264,0.8383,400.55639
0.1504,0.3133,0.0168,0.3538,0.1177,0.048,9.5242,0.8554,417.4353827
0.0138,0.1143,0.0411,0.1532,0.1984,0.4792,17.7726,0.8697,510.9289767
0.1041,0.0674,0.1143,0.0993,0.4903,0.1246,18.8058,0.9534,492.8392635
0.0996,0.2615,0.1703,0.2789,0.081,0.1087,7.8609,0.1759,378.0070235
0.1421,0.036,0.4103,0.3839,0.0012,0.0265,19.1679,0.4527,438.354779
0.0817,0.1944,0.365,0.1434,0.111,0.1045,1.791,0.7314,348.8158967
0.1083,0.0001,0.5052,0.1134,0.0606,0.2124,9.7889,0.2192,407.6628813
0.1049,0.01,0.136,0.3266,0.33,0.0925,18.9191,0.5668,479.303663
0.2086,0.0285,0.5191,0.0873,0.1476,0.0089,15.9081,0.1915,405.5785758
0.2642,0.4869,0.0726,0.0022,0.0286,0.1455,8.6703,0.3932,350.6473991
0.0045,0.1295,0.4552,0.0363,0.0444,0.3301,3.8193,0.4298,383.4432904
0.1871,0.0912,0.0227,0.0315,0.4387,0.2288,13.4129,0.5815,465.276806
0.0707,0.384,0.0817,0.4097,0.0202,0.0337,3.2105,0.7637,359.4597012
0.1766,0.202,0.345,0.1229,0.0235,0.13,14.2369,0.8131,430.2971562
0.0154,0.204,0.005,0.165,0.0941,0.5165,9.2944,0.6421,464.9912813
0.4164,0.3039,0.0177,0.0118,0.0805,0.1697,16.6374,0.2709,374.8764875
0.0513,0.288,0.1301,0.1144,0.0907,0.3255,17.2632,0.3913,457.6222078
0.2313,0.0235,0.0086,0.6076,0.1242,0.0048,16.0055,0.6444,445.8344614
0.134,0.0767,0.02,0.0875,0.5263,0.1555,13.0247,0.8894,475.3655202
0.0427,0.3769,0.0122,0.3209,0.2455,0.0018,16.7011,0.225,430.2358601
0.1845,0.2274,0.3198,0.1513,0.0686,0.0484,5.3232,0.1034,335.7365391
0.1695,0.0762,0.1577,0.1056,0.144,0.347,17.2717,0.5385,472.4951173
0.144,0.1736,0.0366,0.2293,0.0086,0.4079,8.6043,0.5277,433.004087
0.1829,0.1849,0.2596,0.0237,0.3047,0.0442,17.2549,0.4597,431.8000457
0.1611,0.1639,0.164,0.2284,0.0172,0.2654,18.7789,0.7517,468.6429834
0.0729,0.0676,0.6715,0.1318,0.0539,0.0023,7.9207,0.3825,384.8325849
0.0396,0.1892,0.4019,0.0816,0.1524,0.1353,12.5239,0.3888,424.5189222
0.2916,0.2757,0.0588,0.0385,0.1459,0.1895,14.472,0.9402,450.8298197
0.2423,0.315,0.1249,0.1891,0.0966,0.0321,17.388,0.4105,404.801729
0.1074,0.0348,0.5599,0.0215,0.0227,0.2537,6.6735,0.6438,406.7119913
0.3977,0.0492,0.2616,0.1797,0.0086,0.1032,4.5132,0.7799,366.6659509
0.2913,0.0039,0.0214,0.2014,0.2148,0.2672,8.0232,0.2254,390.1761196
0.0391,0.13,0.0525,0.1596,0.0696,0.5492,11.0864,0.9652,484.4377636
0.0651,0.4253,0.2217,0.0361,0.1207,0.1311,14.2878,0.173,401.343983
0.032,0.0823,0.147,0.1579,0.5531,0.0277,6.7001,0.5644,427.1146058
0.1488,0.0862,0.3983,0.2285,0.0115,0.1267,1.7732,0.0284,298.267658
0.5053,0.1119,0.1279,0.0526,0.0968,0.1055,18.1344,0.3234,379.8007511
0.2233,0.1871,0.0116,0.3438,0.1003,0.1339,18.5804,0.0969,416.4829481
0.1747,0.1026,0.4546,0.2332,0.0081,0.0268,8.2467,0.9604,398.2202511
0.012,0.1136,0.4876,0.3608,0.0115,0.0145,12.3539,0.8794,425.8777324
0.3796,0.1366,0.0296,0.3385,0.0843,0.0314,10.7643,0.8625,410.8663411
0.1548,0.2638,0.0942,0.1637,0.0986,0.2249,8.6497,0.9815,438.707071
0.1979,0.0545,0.4129,0.1689,0.0878,0.078,7.7756,0.9946,414.4584408
0.0729,0.048,0.531,0.2499,0.0595,0.0387,8.8777,0.4201,401.0943511
0.2256,0.2722,0.0289,0.3192,0.1455,0.0086,2.4731,0.9376,360.6322341
0.2676,0.1368,0.0077,0.0131,0.4465,0.1283,11.5899,0.7367,447.3361966
0.1402,0.2897,0.0262,0.0545,0.2212,0.2682,6.989,0.29,386.6364251
0.0231,0.0188,0.1562,0.2605,0.0266,0.5148,10.5248,0.6913,474.9935537
0.015,0.2912,0.1546,0.1615,0.0328,0.3449,2.3225,0.8825,391.9938328
0.4817,0.1079,0.1002,0.1218,0.1816,0.0068,2.26,0.7789,336.687565
0.0699,0.1501,0.3744,0.0501,0.2081,0.1474,13.7666,0.9943,459.001532
0.0272,0.2004,0.2279,0.0931,0.0526,0.3988,1.8811,0.7434,383.3839902
0.0984,0.4989,0.1573,0.1886,0.0531,0.0037,7.6494,0.3974,361.7753411
0.1504,0.1934,0.0135,0.4394,0.0006,0.2027,3.3432,0.2767,351.8065857
0.1013,0.0866,0.0847,0.4582,0.1828,0.0864,4.1993,0.8653,401.6223566
0.2752,0.2556,0.0031,0.2147,0.0793,0.1721,15.6134,0.6356,432.5110961
0.1677,0.1934,0.1544,0.126,0.2084,0.1501,6.7907,0.8411,418.2783147
0.4016,0.1179,0.0138,0.1887,0.1151,0.1629,13.2792,0.1352,369.253286
0.5026,0.1381,0.0032,0.1229,0.109,0.1242,15.0749,0.156,360.9915673
0.0406,0.0659,0.409,0.1167,0.1247,0.2431,6.4184,0.9296,430.4399952
0.0759,0.204,0.0311,0.1394,0.303,0.2466,11.5245,0.0393,417.8288503
0.4327,0.0329,0.4244,0.0086,0.0436,0.0578,19.1367,0.1504,378.9487749
0.0853,0.0568,0.465,0.2997,0.0858,0.0074,19.2407,0.9101,452.0958782
0.0734,0.2229,0.0243,0.4065,0.1319,0.141,13.9999,0.6915,453.1886207
0.0185,0.2754,0.015,0.2115,0.3361,0.1435,1.43,0.2736,339.5489764
0.2812,0.1341,0.2638,0.1214,0.0446,0.1549,8.4715,0.5372,386.3834414
0.1773,0.0226,0.2022,0.041,0.0831,0.4738,15.7688,0.1086,440.9799997
0.1706,0.3865,0.0536,0.1834,0.1282,0.0777,11.2173,0.1827,377.5851933
0.0842,0.2399,0.0848,0.3272,0.055,0.2089,1.1281,0.4516,330.2785549
0.0232,0.2223,0.0237,0.3996,0.2444,0.0868,15.4896,0.6531,462.7407808
0.2209,0.0654,0.5963,0.026,0.0656,0.0258,6.7578,0.336,358.1242175
0.2905,0.0274,0.3158,0.2025,0.0497,0.1141,3.1192,0.3361,331.4370807
0.1106,0.0608,0.3515,0.0556,0.1166,0.3049,3.1399,0.5579,383.7934031
0.0103,0.8238,0.0537,0.0051,0.0478,0.0593,2.8943,0.0483,309.0261664
0.1128,0.2349,0.068,0.1395,0.2993,0.1455,1.6054,0.4245,342.8703895
0.137,0.5718,0.0123,0.005,0.0611,0.2128,4.4377,0.3907,336.6636702
0.072,0.0016,0.0021,0.1978,0.6537,0.0728,1.2364,0.9303,374.3987997
0.1752,0.1645,0.1057,0.018,0.22,0.3166,16.1747,0.6272,468.7677655
0.0978,0.0689,0.0159,0.0693,0.4077,0.3404,7.2383,0.3664,440.7637895
0.325,0.0898,0.2436,0.1889,0.0069,0.1458,5.3173,0.5197,360.7764484
0.1264,0.0867,0.007,0.1373,0.4015,0.2411,12.5101,0.994,478.2758161
0.3435,0.1012,0.0925,0.0626,0.1009,0.2993,7.0206,0.3248,366.4416166
0.3723,0.0539,0.1088,0.2688,0.1596,0.0366,9.4744,0.641,399.8516103
0.324,0.3636,0.0757,0.0108,0.2163,0.0096,19.1146,0.0652,380.177235
0.0333,0.7369,0.1178,0.0094,0.0955,0.0071,4.8812,0.2583,331.2619194
0.0572,0.2428,0.4206,0.1143,0.0696,0.0955,8.2874,0.9608,415.5918717
0.2407,0.0754,0.285,0.0049,0.3181,0.0759,17.8729,0.7425,453.7494036
0.2333,0.0516,0.6023,0.0723,0.017,0.0235,16.5057,0.4791,406.354312
0.106,0.1514,0.0801,0.0297,0.3075,0.3253,10.9861,0.2981,440.5529592
0.0832,0.1617,0.3734,0.0421,0.3222,0.0174,8.8704,0.8899,422.5427807
0.1022,0.4794,0.207,0.0545,0.0269,0.13,3.8936,0.0979,322.6836166
0.3676,0.1482,0.027,0.3369,0.0134,0.1069,17.494,0.849,439.1298921
0.2543,0.3966,0.0558,0.021,0.062,0.2103,19.6703,0.5309,424.2183031
0.0199,0.3106,0.0892,0.0626,0.4028,0.1149,3.5296,0.6035,389.3319938
0.1161,0.0523,0.3337,0.2043,0.2108,0.0828,18.682,0.4302,454.4488172
0.2783,0.0533,0.4339,0.0309,0.1461,0.0575,2.0678,0.3735,314.2706678
0.2516,0.1282,0.1547,0.0518,0.2161,0.1976,1.1356,0.1443,279.5805553
0.1922,0.035,0.065,0.1189,0.3485,0.2404,3.0955,0.5839,395.6274168
0.4211,0.0073,0.1333,0.0694,0.1596,0.2093,14.1589,0.63,432.6955196
0.5595,0.045,0.286,0.05,0.0121,0.0474,14.9372,0.9824,405.5742687
0.021,0.2541,0.1173,0.4,0.2028,0.0048,6.1876,0.6636,401.1240097
0.0042,0.3873,0.234,0.0352,0.1678,0.1715,16.1316,0.196,427.7402467
0.3121,0.0449,0.0075,0.177,0.1777,0.2808,19.8457,0.7052,478.6651756
0.0492,0.2292,0.3225,0.1261,0.2672,0.0058,7.1053,0.0017,370.8812039
0.0548,0.1297,0.0517,0.1111,0.1087,0.544,19.6743,0.4292,504.3170635
0.163,0.096,0.3042,0.3887,0.0276,0.0205,10.5782,0.9518,417.6798978
0.1335,0.0685,0.2416,0.326,0.0895,0.1409,8.8282,0.7302,425.3377635
0.4389,0.2563,0.0346,0.1782,0.029,0.063,17.6218,0.7515,406.8367067
0.2198,0.0941,0.0453,0.3512,0.2694,0.0202,4.4172,0.135,343.038934
0.0397,0.2054,0.0716,0.3385,0.081,0.2638,2.1393,0.2916,355.0942865
0.1541,0.0463,0.4404,0.217,0.128,0.0142,16.573,0.847,440.9624419
0.062,0.3992,0.0434,0.0642,0.1873,0.2439,4.8909,0.8641,413.6161022
0.2465,0.1255,0.2335,0.0863,0.2515,0.0567,11.614,0.1961,385.333795
0.4785,0.0603,0.057,0.3315,0.0632,0.0095,4.1065,0.1938,303.2247149
0.0021,0.3234,0.518,0.0946,0.0225,0.0394,7.9676,0.9707,396.7774665
0.06,0.226,0.2271,0.1986,0.2745,0.0138,10.3403,0.9524,432.4833015
0.6651,0.0942,0.0479,0.0698,0.0674,0.0556,15.1511,0.8871,399.4119476
0.0513,0.1237,0.2135,0.1199,0.1065,0.3851,13.1045,0.01,433.3077949
0.0885,0.0227,0.0665,0.6065,0.1911,0.0247,16.1337,0.0033,444.6681951
0.0144,0.5398,0.0112,0.1323,0.1046,0.1977,11.0688,0.3487,404.7595619
0.0289,0.1973,0.4253,0.0568,0.2604,0.0313,12.1093,0.2594,415.0567268
0.0194,0.2254,0.2418,0.1515,0.1887,0.1732,1.1221,0.6665,347.0014985
0.0556,0.0527,0.3633,0.2907,0.0366,0.2011,19.2655,0.5494,469.0022904
0.0707,0.0864,0.0077,0.1658,0.6674,0.002,1.7321,0.2425,361.5740901
0.2987,0.1098,0.1967,0.232,0.1591,0.0037,18.1536,0.6943,431.2064116
0.1992,0.1475,0.3485,0.0453,0.0785,0.181,5.9065,0.0172,337.8751474
0.027,0.2783,0.1617,0.0048,0.0917,0.4365,8.2636,0.4267,428.2242054
0.2328,0.0454,0.0765,0.0063,0.5241,0.1149,3.4278,0.2976,365.549432
0.089,0.2312,0.4221,0.0522,0.1952,0.0103,10.3201,0.1931,387.3015754
0.2476,0.031,0.3531,0.3485,0.0158,0.004,13.8687,0.9907,422.9815186
0.3592,0.0596,0.0736,0.181,0.2866,0.04,5.1923,0.4784,367.9596527
0.1778,0.2105,0.0144,0.3231,0.1111,0.1631,13.2145,0.415,425.9943711
0.3025,0.4296,0.0788,0.0053,0.1133,0.0705,16.662,0.3512,381.8041868
0.0738,0.0029,0.0237,0.5898,0.2821,0.0277,15.771,0.0327,456.334919
0.3424,0.0684,0.3964,0.0818,0.0683,0.0427,15.6249,0.5067,398.9984416
0.3583,0.04,0.2647,0.1364,0.2004,0.0002,16.9834,0.6442,421.9207873
0.2299,0.4562,0.1668,0.0653,0.0559,0.0259,7.0834,0.6617,355.0108151
0.0807,0.125,0.2959,0.0673,0.1652,0.2659,18.2016,0.2119,453.969112
0.1649,0.288,0.0383,0.2881,0.1936,0.0271,14.5329,0.1347,400.8562485
0.1175,0.2049,0.2208,0.0493,0.0584,0.3491,13.0349,0.319,428.0794206
0.0619,0.1994,0.0448,0.2033,0.3001,0.1905,9.9968,0.7048,448.8340083
0.1354,0.046,0.012,0.3294,0.1636,0.3136,7.2497,0.0925,399.4940719
0.0148,0.0902,0.1664,0.2017,0.3194,0.2075,10.7418,0.4193,452.6084933
0.0481,0.0749,0.0772,0.0334,0.1661,0.6003,19.562,0.2529,509.3869273
0.3579,0.043,0.1536,0.1283,0.2203,0.0969,18.3889,0.9481,460.0745716
0.0173,0.1439,0.0865,0.1517,0.1159,0.4847,14.9785,0.1896,474.1694419
0.2145,0.0888,0.0776,0.2106,0.3693,0.0392,11.1436,0.0923,391.914193
0.0576,0.0873,0.2159,0.0906,0.1108,0.4378,17.7357,0.7325,495.3522692
0.1966,0.0506,0.0878,0.164,0.0405,0.4605,5.6478,0.1464,374.5038603
0.1187,0.2067,0.5794,0.0316,0.0396,0.024,12.9993,0.8874,408.5067836
0.5219,0.0071,0.2005,0.0273,0.1298,0.1134,9.3088,0.3871,351.7660203
0.6224,0.0156,0.1745,0.0038,0.0213,0.1624,18.2786,0.3228,367.5865332
0.12,0.1566,0.173,0.1474,0.1595,0.2435,14.9593,0.5714,455.9156622
0.2447,0.1989,0.1435,0.0615,0.1924,0.159,1.744,0.7496,356.1858925
0.04,0.051,0.3886,0.0753,0.0242,0.4209,8.4578,0.7635,449.7303409
0.1312,0.0248,0.109,0.1616,0.5678,0.0056,5.1962,0.8525,417.9653863
0.0905,0.0198,0.4805,0.0312,0.2221,0.1559,10.8646,0.1402,413.2699131
0.3385,0.3826,0.0054,0.1124,0.0041,0.157,3.2002,0.8916,367.7893818
0.0544,0.1995,0.3809,0.147,0.1232,0.095,16.2712,0.0133,420.4099797
0.2518,0.1106,0.2027,0.0532,0.1478,0.2339,3.5256,0.7106,385.7486861
0.0637,0.0247,0.3404,0.343,0.0648,0.1634,4.598,0.873,406.0346744
0.0338,0.3912,0.1002,0.0109,0.4229,0.041,11.6225,0.7358,437.127467
0.0967,0.0511,0.0205,0.206,0.4426,0.1831,2.6601,0.6711,397.9167526
0.068,0.2522,0.1209,0.3013,0.2007,0.0569,10.4409,0.2997,410.309214
0.3423,0.1579,0.0611,0.3533,0.0771,0.0083,1.7885,0.012,273.8170019
0.1629,0.3487,0.081,0.0228,0.0881,0.2965,10.6035,0.3056,394.0351536
0.3039,0.1946,0.1006,0.1781,0.0063,0.2165,1.6239,0.5151,318.9502384
0.2047,0.0954,0.205,0.1955,0.2051,0.0943,4.3271,0.3122,358.495743
0.0736,0.0594,0.2651,0.0628,0.4689,0.0702,14.9838,0.0019,437.6191223
0.0372,0.0813,0.2439,0.0588,0.2008,0.378,12.9942,0.0379,445.8057435
0.0875,0.0203,0.4245,0.1055,0.2899,0.0723,1.2619,0.2543,326.6571906
0.1426,0.3138,0.1652,0.2363,0.0667,0.0754,17.0875,0.9016,442.4736311
