C3,C4,C5,C6,C7,C8,Pressure,LH
0.3028,0.0895,0.0215,0.2144,0.0526,0.3192,6.6250,42.4428
0.2161,0.1477,0.1645,0.0781,0.2231,0.1705,7.8566,37.5782
0.0085,0.0495,0.2211,0.1723,0.4274,0.1212,14.8662,23.7389
0.1603,0.1457,0.0111,0.4064,0.2428,0.0337,3.0105,37.6863
0.2874,0.0387,0.0323,0.0708,0.4557,0.1151,6.4935,41.8314
0.0800,0.0846,0.0401,0.1459,0.4428,0.2066,15.3488,28.6368
0.3535,0.0974,0.0767,0.1356,0.2246,0.1122,13.9635,33.9747
0.1328,0.1901,0.4132,0.2044,0.0008,0.0587,5.3455,30.0782
0.2079,0.1974,0.0600,0.1300,0.0721,0.3326,4.6700,42.6000
0.4334,0.0432,0.0184,0.1549,0.3258,0.0243,17.2819,31.7204
0.4337,0.0454,0.0467,0.2975,0.0234,0.1533,19.7976,30.1339
0.0696,0.1750,0.0808,0.0427,0.5590,0.0729,9.8659,33.1916
0.2733,0.2950,0.1560,0.0245,0.1474,0.1038,1.6360,36.4968
0.2156,0.1992,0.0263,0.0518,0.3024,0.2047,10.8961,37.9668
0.1461,0.2117,0.3664,0.0521,0.2056,0.0181,7.8264,30.0171
0.1504,0.3133,0.0168,0.3538,0.1177,0.0480,9.5242,30.6521
0.0138,0.1143,0.0411,0.1532,0.1984,0.4792,17.7726,24.2812
0.1041,0.0674,0.1143,0.0993,0.4903,0.1246,18.8058,25.9220
0.0996,0.2615,0.1703,0.2789,0.0810,0.1087,7.8609,31.9386
0.1421,0.0360,0.4103,0.3839,0.0012,0.0265,19.1679,20.7375
0.0817,0.1944,0.3650,0.1434,0.1110,0.1045,1.7910,35.9318
0.1083,0.0001,0.5052,0.1134,0.0606,0.2124,9.7889,32.0331
0.1049,0.0100,0.1360,0.3266,0.3300,0.0925,18.9191,23.6669
0.2086,0.0285,0.5191,0.0873,0.1476,0.0089,15.9081,24.6547
0.2642,0.4869,0.0726,0.0022,0.0286,0.1455,8.6703,30.8394
0.0045,0.1295,0.4552,0.0363,0.0444,0.3301,3.8193,36.4218
0.1871,0.0912,0.0227,0.0315,0.4387,0.2288,13.4129,36.8015
0.0707,0.3840,0.0817,0.4097,0.0202,0.0337,3.2105,31.3324
0.1766,0.2020,0.3450,0.1229,0.0235,0.1300,14.2369,28.1597
0.0154,0.2040,0.0050,0.1650,0.0941,0.5165,9.2944,35.7151
0.4164,0.3039,0.0177,0.0118,0.0805,0.1697,16.6374,30.5014
0.0513,0.2880,0.1301,0.1144,0.0907,0.3255,17.2632,29.6611
0.2313,0.0235,0.0086,0.6076,0.1242,0.0048,16.0055,27.1713
0.1340,0.0767,0.0200,0.0875,0.5263,0.1555,13.0247,33.5052
0.0427,0.3769,0.0122,0.3209,0.2455,0.0018,16.7011,24.2647
0.1845,0.2274,0.3198,0.1513,0.0686,0.0484,5.3232,31.1620
0.1695,0.0762,0.1577,0.1056,0.1440,0.3470,17.2717,32.8596
0.1440,0.1736,0.0366,0.2293,0.0086,0.4079,8.6043,40.0855
0.1829,0.1849,0.2596,0.0237,0.3047,0.0442,17.2549,27.5816
0.1611,0.1639,0.1640,0.2284,0.0172,0.2654,18.7789,29.2956
0.0729,0.0676,0.6715,0.1318,0.0539,0.0023,7.9207,24.9570
0.0396,0.1892,0.4019,0.0816,0.1524,0.1353,12.5239,27.9639
0.2916,0.2757,0.0588,0.0385,0.1459,0.1895,14.4720,33.5061
0.2423,0.3150,0.1249,0.1891,0.0966,0.0321,17.3880,24.9109
0.1074,0.0348,0.5599,0.0215,0.0227,0.2537,6.6735,35.0688
0.3977,0.0492,0.2616,0.1797,0.0086,0.1032,4.5132,34.2951
0.2913,0.0039,0.0214,0.2014,0.2148,0.2672,8.0232,42.5794
0.0391,0.1300,0.0525,0.1596,0.0696,0.5492,11.0864,34.3224
0.0651,0.4253,0.2217,0.0361,0.1207,0.1311,14.2878,27.8109
0.0320,0.0823,0.1470,0.1579,0.5531,0.0277,6.7001,31.6536
0.1488,0.0862,0.3983,0.2285,0.0115,0.1267,1.7732,36.7788
0.5053,0.1119,0.1279,0.0526,0.0968,0.1055,18.1344,28.5730
0.2233,0.1871,0.0116,0.3438,0.1003,0.1339,18.5804,28.7569
0.1747,0.1026,0.4546,0.2332,0.0081,0.0268,8.2467,27.6021
0.0120,0.1136,0.4876,0.3608,0.0115,0.0145,12.3539,21.6003
0.3796,0.1366,0.0296,0.3385,0.0843,0.0314,10.7643,30.6526
0.1548,0.2638,0.0942,0.1637,0.0986,0.2249,8.6497,36.2558
0.1979,0.0545,0.4129,0.1689,0.0878,0.0780,7.7756,31.9296
0.0729,0.0480,0.5310,0.2499,0.0595,0.0387,8.8777,26.6393
0.2256,0.2722,0.0289,0.3192,0.1455,0.0086,2.4731,34.5101
0.2676,0.1368,0.0077,0.0131,0.4465,0.1283,11.5899,38.0841
0.1402,0.2897,0.0262,0.0545,0.2212,0.2682,6.9890,39.8911
0.0231,0.0188,0.1562,0.2605,0.0266,0.5148,10.5248,30.5654
0.0150,0.2912,0.1546,0.1615,0.0328,0.3449,2.3225,40.0203
0.4817,0.1079,0.1002,0.1218,0.1816,0.0068,2.2600,33.5360
0.0699,0.1501,0.3744,0.0501,0.2081,0.1474,13.7666,28.6852
0.0272,0.2004,0.2279,0.0931,0.0526,0.3988,1.8811,41.8421
0.0984,0.4989,0.1573,0.1886,0.0531,0.0037,7.6494,25.8738
0.1504,0.1934,0.0135,0.4394,0.0006,0.2027,3.3432,38.9730
0.1013,0.0866,0.0847,0.4582,0.1828,0.0864,4.1993,35.8741
0.2752,0.2556,0.0031,0.2147,0.0793,0.1721,15.6134,31.9456
0.1677,0.1934,0.1544,0.1260,0.2084,0.1501,6.7907,36.7831
0.4016,0.1179,0.0138,0.1887,0.1151,0.1629,13.2792,34.7538
0.5026,0.1381,0.0032,0.1229,0.1090,0.1242,15.0749,31.6613
0.0406,0.0659,0.4090,0.1167,0.1247,0.2431,6.4184,33.9746
0.0759,0.2040,0.0311,0.1394,0.3030,0.2466,11.5245,34.1330
0.4327,0.0329,0.4244,0.0086,0.0436,0.0578,19.1367,24.1454
0.0853,0.0568,0.4650,0.2997,0.0858,0.0074,19.2407,19.6449
0.0734,0.2229,0.0243,0.4065,0.1319,0.1410,13.9999,28.6144
0.0185,0.2754,0.0150,0.2115,0.3361,0.1435,1.4300,39.6273
0.2812,0.1341,0.2638,0.1214,0.0446,0.1549,8.4715,34.1780
0.1773,0.0226,0.2022,0.0410,0.0831,0.4738,15.7688,35.9270
0.1706,0.3865,0.0536,0.1834,0.1282,0.0777,11.2173,30.1615
0.0842,0.2399,0.0848,0.3272,0.0550,0.2089,1.1281,40.3704
0.0232,0.2223,0.0237,0.3996,0.2444,0.0868,15.4896,25.1173
0.2209,0.0654,0.5963,0.0260,0.0656,0.0258,6.7578,28.6682
0.2905,0.0274,0.3158,0.2025,0.0497,0.1141,3.1192,36.8960
0.1106,0.0608,0.3515,0.0556,0.1166,0.3049,3.1399,41.1887
0.0103,0.8238,0.0537,0.0051,0.0478,0.0593,2.8943,28.5962
0.1128,0.2349,0.0680,0.1395,0.2993,0.1455,1.6054,41.2514
0.1370,0.5718,0.0123,0.0050,0.0611,0.2128,4.4377,35.8111
0.0720,0.0016,0.0021,0.1978,0.6537,0.0728,1.2364,42.0570
0.1752,0.1645,0.1057,0.0180,0.2200,0.3166,16.1747,34.7983
0.0978,0.0689,0.0159,0.0693,0.4077,0.3404,7.2383,39.5854
0.3250,0.0898,0.2436,0.1889,0.0069,0.1458,5.3173,35.6205
0.1264,0.0867,0.0070,0.1373,0.4015,0.2411,12.5101,34.5012
0.3435,0.1012,0.0925,0.0626,0.1009,0.2993,7.0206,41.6151
0.3723,0.0539,0.1088,0.2688,0.1596,0.0366,9.4744,33.0960
0.3240,0.3636,0.0757,0.0108,0.2163,0.0096,19.1146,24.6147
0.0333,0.7369,0.1178,0.0094,0.0955,0.0071,4.8812,25.8593
0.0572,0.2428,0.4206,0.1143,0.0696,0.0955,8.2874,29.1303
0.2407,0.0754,0.2850,0.0049,0.3181,0.0759,17.8729,29.3023
0.2333,0.0516,0.6023,0.0723,0.0170,0.0235,16.5057,22.2759
0.1060,0.1514,0.0801,0.0297,0.3075,0.3253,10.9861,37.0488
0.0832,0.1617,0.3734,0.0421,0.3222,0.0174,8.8704,30.0427
0.1022,0.4794,0.2070,0.0545,0.0269,0.1300,3.8936,32.6973
0.3676,0.1482,0.0270,0.3369,0.0134,0.1069,17.4940,28.7985
0.2543,0.3966,0.0558,0.0210,0.0620,0.2103,19.6703,29.2214
0.0199,0.3106,0.0892,0.0626,0.4028,0.1149,3.5296,37.2200
0.1161,0.0523,0.3337,0.2043,0.2108,0.0828,18.6820,24.3480
0.2783,0.0533,0.4339,0.0309,0.1461,0.0575,2.0678,35.6676
0.2516,0.1282,0.1547,0.0518,0.2161,0.1976,1.1356,42.7574
0.1922,0.0350,0.0650,0.1189,0.3485,0.2404,3.0955,45.2275
0.4211,0.0073,0.1333,0.0694,0.1596,0.2093,14.1589,36.5837
0.5595,0.0450,0.2860,0.0500,0.0121,0.0474,14.9372,24.6773
0.0210,0.2541,0.1173,0.4000,0.2028,0.0048,6.1876,29.7466
0.0042,0.3873,0.2340,0.0352,0.1678,0.1715,16.1316,26.9107
0.3121,0.0449,0.0075,0.1770,0.1777,0.2808,19.8457,34.2416
0.0492,0.2292,0.3225,0.1261,0.2672,0.0058,7.1053,29.7170
0.0548,0.1297,0.0517,0.1111,0.1087,0.5440,19.6743,26.3867
0.1630,0.0960,0.3042,0.3887,0.0276,0.0205,10.5782,27.1976
0.1335,0.0685,0.2416,0.3260,0.0895,0.1409,8.8282,32.8589
0.4389,0.2563,0.0346,0.1782,0.0290,0.0630,17.6218,25.4991
0.2198,0.0941,0.0453,0.3512,0.2694,0.0202,4.4172,37.1665
0.0397,0.2054,0.0716,0.3385,0.0810,0.2638,2.1393,39.6961
0.1541,0.0463,0.4404,0.2170,0.1280,0.0142,16.5730,23.7705
0.0620,0.3992,0.0434,0.0642,0.1873,0.2439,4.8909,38.5477
0.2465,0.1255,0.2335,0.0863,0.2515,0.0567,11.6140,32.0278
0.4785,0.0603,0.0570,0.3315,0.0632,0.0095,4.1065,32.2200
0.0021,0.3234,0.5180,0.0946,0.0225,0.0394,7.9676,24.8853
0.0600,0.2260,0.2271,0.1986,0.2745,0.0138,10.3403,28.5239
0.6651,0.0942,0.0479,0.0698,0.0674,0.0556,15.1511,26.0755
0.0513,0.1237,0.2135,0.1199,0.1065,0.3851,13.1045,32.0088
0.0885,0.0227,0.0665,0.6065,0.1911,0.0247,16.1337,23.2024
0.0144,0.5398,0.0112,0.1323,0.1046,0.1977,11.0688,31.4309
0.0289,0.1973,0.4253,0.0568,0.2604,0.0313,12.1093,26.0663
0.0194,0.2254,0.2418,0.1515,0.1887,0.1732,1.1221,38.5383
0.0556,0.0527,0.3633,0.2907,0.0366,0.2011,19.2655,22.7707
0.0707,0.0864,0.0077,0.1658,0.6674,0.0020,1.7321,40.3582
0.2987,0.1098,0.1967,0.2320,0.1591,0.0037,18.1536,25.7883
0.1992,0.1475,0.3485,0.0453,0.0785,0.1810,5.9065,36.0903
0.0270,0.2783,0.1617,0.0048,0.0917,0.4365,8.2636,37.9462
0.2328,0.0454,0.0765,0.0063,0.5241,0.1149,3.4278,43.8974
0.0890,0.2312,0.4221,0.0522,0.1952,0.0103,10.3201,26.9407
0.2476,0.0310,0.3531,0.3485,0.0158,0.0040,13.8687,25.1902
0.3592,0.0596,0.0736,0.1810,0.2866,0.0400,5.1923,37.5534
0.1778,0.2105,0.0144,0.3231,0.1111,0.1631,13.2145,32.4707
0.3025,0.4296,0.0788,0.0053,0.1133,0.0705,16.6620,25.8868
0.0738,0.0029,0.0237,0.5898,0.2821,0.0277,15.7710,22.8516
0.3424,0.0684,0.3964,0.0818,0.0683,0.0427,15.6249,26.0104
0.3583,0.0400,0.2647,0.1364,0.2004,0.0002,16.9834,27.1459
0.2299,0.4562,0.1668,0.0653,0.0559,0.0259,7.0834,26.9435
0.0807,0.1250,0.2959,0.0673,0.1652,0.2659,18.2016,27.6700
0.1649,0.2880,0.0383,0.2881,0.1936,0.0271,14.5329,28.0729
0.1175,0.2049,0.2208,0.0493,0.0584,0.3491,13.0349,34.8153
0.0619,0.1994,0.0448,0.2033,0.3001,0.1905,9.9968,33.5648
0.1354,0.0460,0.0120,0.3294,0.1636,0.3136,7.2497,39.3406
0.0148,0.0902,0.1664,0.2017,0.3194,0.2075,10.7418,29.0924
0.0481,0.0749,0.0772,0.0334,0.1661,0.6003,19.5620,24.3141
0.3579,0.0430,0.1536,0.1283,0.2203,0.0969,18.3889,30.7763
0.0173,0.1439,0.0865,0.1517,0.1159,0.4847,14.9785,28.9358
0.2145,0.0888,0.0776,0.2106,0.3693,0.0392,11.1436,33.9432
0.0576,0.0873,0.2159,0.0906,0.1108,0.4378,17.7357,28.0443
0.1966,0.0506,0.0878,0.1640,0.0405,0.4605,5.6478,45.2335
0.1187,0.2067,0.5794,0.0316,0.0396,0.0240,12.9993,22.9021
0.5219,0.0071,0.2005,0.0273,0.1298,0.1134,9.3088,33.8350
0.6224,0.0156,0.1745,0.0038,0.0213,0.1624,18.2786,29.1380
0.1200,0.1566,0.1730,0.1474,0.1595,0.2435,14.9593,31.5922
0.2447,0.1989,0.1435,0.0615,0.1924,0.1590,1.7440,40.2891
0.0400,0.0510,0.3886,0.0753,0.0242,0.4209,8.4578,34.8121
0.1312,0.0248,0.1090,0.1616,0.5678,0.0056,5.1962,37.3886
0.0905,0.0198,0.4805,0.0312,0.2221,0.1559,10.8646,30.7827
0.3385,0.3826,0.0054,0.1124,0.0041,0.1570,3.2002,34.8076
0.0544,0.1995,0.3809,0.1470,0.1232,0.0950,16.2712,24.5676
0.2518,0.1106,0.2027,0.0532,0.1478,0.2339,3.5256,41.4246
0.0637,0.0247,0.3404,0.3430,0.0648,0.1634,4.5980,33.9479
0.0338,0.3912,0.1002,0.0109,0.4229,0.0410,11.6225,30.0639
0.0967,0.0511,0.0205,0.2060,0.4426,0.1831,2.6601,42.2282
0.0680,0.2522,0.1209,0.3013,0.2007,0.0569,10.4409,29.5391
0.3423,0.1579,0.0611,0.3533,0.0771,0.0083,1.7885,34.0795
0.1629,0.3487,0.0810,0.0228,0.0881,0.2965,10.6035,36.7105
0.3039,0.1946,0.1006,0.1781,0.0063,0.2165,1.6239,39.7420
0.2047,0.0954,0.2050,0.1955,0.2051,0.0943,4.3271,37.5064
0.0736,0.0594,0.2651,0.0628,0.4689,0.0702,14.9838,27.0910
0.0372,0.0813,0.2439,0.0588,0.2008,0.3780,12.9942,30.7557
0.0875,0.0203,0.4245,0.1055,0.2899,0.0723,1.2619,38.2399
0.1426,0.3138,0.1652,0.2363,0.0667,0.0754,17.0875,25.3384
0.1129,0.0272,0.4805,0.0243,0.0224,0.3327,2.0550,41.6136
0.1982,0.4424,0.0564,0.0146,0.0489,0.2395,6.8757,36.1304
0.1145,0.1006,0.2676,0.3475,0.1351,0.0347,4.9562,32.6368
0.0240,0.0273,0.0419,0.5904,0.0104,0.3060,14.1330,24.6832
0.0403,0.2356,0.0671,0.3717,0.1287,0.1566,14.9518,27.0997
0.2729,0.2395,0.0862,0.1182,0.2727,0.0105,16.0459,28.5014
0.0202,0.2154,0.0637,0.1668,0.2692,0.2647,16.7247,27.0747
0.0901,0.2320,0.4732,0.0053,0.0841,0.1153,3.0674,33.8751
0.1257,0.1815,0.0036,0.2704,0.2596,0.1592,11.3119,33.8647
0.3289,0.1489,0.2063,0.0799,0.1714,0.0646,4.3837,35.0114
0.3088,0.2742,0.0199,0.0582,0.0633,0.2756,1.6974,41.4223
0.0061,0.3427,0.1695,0.2105,0.1097,0.1615,17.5678,24.9780
0.2639,0.1572,0.0483,0.2278,0.1596,0.1432,1.4805,40.8251
0.1985,0.0804,0.0417,0.1354,0.5385,0.0055,2.9757,41.0374
0.1655,0.0047,0.1449,0.1736,0.1426,0.3687,7.6889,40.9164
0.5939,0.0128,0.0704,0.0517,0.0659,0.2053,19.5138,32.1717
0.0587,0.1514,0.3420,0.0575,0.0457,0.3447,11.7555,33.0096
0.0291,0.1266,0.2237,0.1749,0.4228,0.0229,11.9658,27.0295
0.0598,0.2247,0.2439,0.0669,0.1870,0.2177,17.0921,28.0271
0.3185,0.0354,0.0557,0.2836,0.2002,0.1066,2.2157,40.9507
0.0824,0.4149,0.0540,0.1613,0.0692,0.2182,10.0751,33.4398
0.4427,0.0257,0.2384,0.1080,0.1493,0.0359,5.0556,33.5151
0.1018,0.1202,0.2938,0.0393,0.3600,0.0849,10.7453,31.7152
0.3479,0.0584,0.1835,0.0415,0.0965,0.2722,4.0423,41.9987
0.2002,0.4958,0.1073,0.0512,0.0537,0.0918,19.8723,23.5956
0.0870,0.0936,0.5664,0.2034,0.0458,0.0038,15.0800,21.3113
0.2587,0.4903,0.1973,0.0074,0.0424,0.0039,11.6543,21.6499
0.0078,0.0383,0.2836,0.3156,0.2569,0.0978,18.4235,20.0497
0.0333,0.0084,0.0119,0.1841,0.5628,0.1995,8.3249,29.3575
0.0027,0.0549,0.2124,0.1948,0.0425,0.4927,2.9343,38.1849
0.4459,0.1132,0.1011,0.0392,0.2999,0.0007,2.3794,35.4151
0.2206,0.1051,0.2891,0.0961,0.2692,0.0199,10.7516,31.0995
0.0277,0.4651,0.1875,0.1061,0.0712,0.1424,6.3798,31.8978
0.0027,0.0071,0.0237,0.2867,0.1338,0.5460,12.8667,24.1768
0.0702,0.1017,0.3219,0.1059,0.3506,0.0497,19.7369,22.6515
0.6025,0.1589,0.0998,0.0411,0.0763,0.0214,16.5926,23.2577
0.0788,0.1652,0.5152,0.0788,0.0813,0.0807,1.1047,34.9173
0.0177,0.0690,0.1419,0.3115,0.1572,0.3027,11.6181,28.5848
0.0342,0.0276,0.1129,0.4883,0.0002,0.3368,9.4032,30.4027
